                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      CPU32      CPU33      CPU34      CPU35      CPU36      CPU37      CPU38      CPU39      CPU40      CPU41      CPU42      CPU43      CPU44      CPU45      CPU46      CPU47      CPU48      CPU49      CPU50      CPU51      CPU52      CPU53      CPU54      CPU55      CPU56      CPU57      CPU58      CPU59      CPU60      CPU61      CPU62      CPU63      CPU64      CPU65      CPU66      CPU67      CPU68      CPU69      CPU70      CPU71      CPU72      CPU73      CPU74      CPU75      CPU76      CPU77      CPU78      CPU79      CPU80      CPU81      CPU82      CPU83      CPU84      CPU85      CPU86      CPU87      CPU88      CPU89      CPU90      CPU91      CPU92      CPU93      CPU94      CPU95      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     976875       1426       1406       1408       1377       1371       1355       1338       1327       1315       1299       1297       1270       1256       1237       1232       1208       1207       1187       1177       1171       1144       1135       1123      11613       2332       3949       4239       4062       4147       3584       4044       3191       2939       3143       3239       3267       2192       2387       2676       3013       2630       2343       2186       2502       2533       2807       3252      85913     113277      99913     100134      82135      64902      68884      74944      91648      79155      77796      57337      64340      60003      44848      61059      50196      40524      62460      52033      85473      70724      57010      76549       3497       2939       2532       2201       1899       2190       2019       2048       2466       2172       1900       2847       1792       2926       3838       4382       4264       1633       1836       1382       1650       1472       1199       2879
      NET_TX:        130          0          0          0          0          0          0          0          2          0          0          0          1          0          0          0          0          0          0          0          0          0          0          2          0          0          2          2          2          1          2          0          1          1          1          1          1          0          0          1          4          1          0          1          1          0          1          1          3          1          1          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1       1952          3          2          0          0          0          0          0          0          0          2          2          0          1          1          0          2          0          0          0          0          1          0          0
      NET_RX:      48591          0          0          0          0          0          0          1         18          0          0          0          2          0          0          0          0          0          0          3          0          0          0         21          2         10          7         12         12          6         24          8         21         10         16          7         10          2          2          5        230          7          4         46         17          1         30         14          8         17         15          7         13         25         24         51          6         10         16         12         14         37          6          6         13          5          4          5          2          6          5          7         24         80         19         26         14         14          6          2         63          0         54         10         23          5         13          6          6          0          6          4          7          8          3          4
       BLOCK:        172         26          4          3          4          2          1          1          8          3          1          1          1          1          3          9          0          2          1          4          0          2          2          1         76        162        161        215        233        268        233        151        256        323        229        135        134        225        110        296        434        730        940        359        729        231         96        143         61        159        181        313        202        440        373        304        406        347        211        431        664        371        288        122        276        237        518        510        307        172        153        197        305        186        229        161         58         76        151        103        146        142        180        286        370        272        340        265        188        208        410        439        108         83         96         94
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:        474          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1          1          7          1          5          6          0          0          1          0          0          0          0         33          3          0          9          9          8          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       SCHED:     975759          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0     235742       8659       3589       3689       3618       3820       3183       3705       2829       2573       3017       2833       2748       1829       2005       2249       2634       2311       2008       1932       2228       2207       2505       2998      87077      47678      42406      42550      34671      27582      29203      30944      38578      33404      32669      24211      27586      25481      19062      25837      21341      17381      26535      22215      36420      30111      24131      32546       3524       2406       2638       2321       2034       2332       2173       2214       2741       2440       2096       3054       2022       3140       4122       4620       4534       1913       2144       1689       2069       1983       1504       3204
     HRTIMER:        574          2          2          2          2          2          2          2          2          2          2          2          2          2          2          2          2          2          2          2          2          2          2          4        720        201        381        411        213        535        421        635        571        391        273        571        277        749        235        150        650        850        673       1496        609        363         73        714         40        467        418        370        394        523        468        379        393        415        418        367        360        364        349        361       1474        682       1318        537        377        361        366        341        596        792        209        680        897        300        396        959       1533        169        373       1003        761        446        237        272        178        236        864        970       5364       5091        464       1287
         RCU:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
